BatsMan,Country, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers,SR
Ariani,Indonesia,ct,E Pokana,M Jayphert,9,8,2,0,112.5
Ayu Kurnia,Indonesia,ct,H Tau,H Tau,20,30,1,0,66.67
Wesika,Indonesia,ct,M Jayphert,E Pokana,35,41,4,0,85.37
Desi,Indonesia,ct,M Ani,B Vicky,0,10,0,0,0
Thersiana Feibrene Catrina Penu Weo,Indonesia,ct,D Lohia,D Lohia,2,8,0,0,25
Sang Ayu,Indonesia,ct,C Ute,E Pokana,0,5,0,0,0
Talia,Indonesia,ht,,E Pokana,6,7,1,0,85.71
Gek Ulan,Indonesia,ro,,M Jayphert,0,1,0,0,0
Dwik,Indonesia,ct,A Vala,E Pokana,2,7,0,0,28.57
Yoland,Indonesia,,,,5,7,0,0,71.43
Sandia,Indonesia,,,,0,1,0,0,0
Ika,Indonesia,,,,0,0,0,0,
Devi,Indonesia,,,,0,0,0,0,
Cao,Indonesia,,,,0,0,0,0,
